Account,Security,Order ID,Trade Date,Trade Time,Side,Liquidity,Route,Quantity,Price,Lime Fee,ECN Fee,ACT Fee,SEC Fee,NASD Fee,Rounded Order Commission
MRTTRADING1,SPY,'40089552947879',9/18/2014,15:58:53,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'40106732817063',9/18/2014,15:58:53,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,RSX,'40235581835943',9/18/2014,15:58:53,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'40252761705127',9/18/2014,15:58:53,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'40261351639719',9/18/2014,15:58:53,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
MRTTRADING1,SPY,'40364430854823',9/18/2014,15:58:53,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'40373020789415',9/18/2014,15:58:53,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'40390200658599',9/18/2014,15:58:53,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,RSX,'40519049677479',9/18/2014,15:58:53,3,Removed,BATSY,100,23.7,0.08,-0.16,0,0.05,0.02,-0.01
MRTTRADING1,RSX,'40536229546663',9/18/2014,15:58:53,3,Removed,EDGAA,70,23.7,0.056,-0.014,0,0.04,0.01,0.14
MRTTRADING1,RSX,'40536229546663',9/18/2014,15:58:53,3,Removed,EDGAA,30,23.7,0.024,-0.006,0,0.02,0.01,0
MRTTRADING1,RSX,'40544819481255',9/18/2014,15:58:53,3,Removed,BSX,100,23.7,0.08,-0.04,0,0.05,0.02,0.11
MRTTRADING1,SPY,'40656488630951',9/18/2014,15:58:53,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'40665078565543',9/18/2014,15:58:53,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
